TEST,,A faire,A tester,Leaks ?,Exit status,Fonctionne,COMPORTEMENT ATTENDU,Notes
\n (touche entrée),,,,,,,$>,
[que des espaces],,,,,,,,
[que des tabulations],,,,,,,,
:,,,,,,,,
!,,,,,,,,
>,,,,,,,"bash: syntax error near
unexpected token `newline'
$>",
<,,,,,,,,
>>,,,,,,,,
<<,,,,,,,,
<>,,,,,,,,
>>>>>,,,,,,,"bash: syntax error near
unexpected token `>>'
$>",
>>>>>>>>>>>>>>>,,,,,,,"bash: syntax error near
unexpected token `>>'
$>",
<<<<<,,,,,,,"bash: syntax error near
unexpected token `<<'
$>",
<<<<<<<<<<<<<<<<,,,,,,,"bash: syntax error near
unexpected token `<<'
$>",
> > > >,,,,,,,"bash: syntax error near
unexpected token `>'
$>",
>> >> >> >>,,,,,,,"bash: syntax error near
unexpected token `>>'
$>",
>>>> >> >> >>,,,,,,,"bash: syntax error near
unexpected token `>>'
$>",
/,,,,,,,"bash: /: Is a directory
$>",
//,,,,,,,"bash: //: Is a directory
$>",
/.,,,,,,,"bash: /.: Is a directory
$>",
/./../../../../..,,,,,,,"bash: /./../../../../..: Is a directory
$>",
///////,,,,,,,"bash: ///////: Is a directory
$>",
-,,,,,,,"bash: -: command not found
$>",
|,,,,,,,"bash: syntax error near
unexpected token `|'
$>",
| hola,,,,,,,"bash: syntax error near
unexpected token `|'
$>",
| | |,,,,,,,"bash: syntax error near
unexpected token `|'
$>",
||,,,,,,,"bash: syntax error near
unexpected token `||'
$>",
|||||,,,,,,,"bash: syntax error near
unexpected token `||'
$>",
|||||||||||||,,,,,,,"bash: syntax error near
unexpected token `||'
$>",
>>|><,,,,,,,"bash: syntax error near
unexpected token `|'
$>",
&&,,,,,,,"bash: syntax error near
unexpected token `&&'
$>",
&&&&&,,,,,,,"bash: syntax error near
unexpected token `&&'
$>",
&&&&&&&&&&&&&&,,,,,,,"bash: syntax error near
unexpected token `&&'
$>",
;;,NON GERE,,,,,,"bash: syntax error near
unexpected token `;;'
$>",
;;;;;,NON GERE,,,,,,"bash: syntax error near
unexpected token `;;'
$>",
;;;;;;;;;;;;;;;,NON GERE,,,,,,"bash: syntax error near
unexpected token `;;'
$>",
(),NON GERE,,,,,,"bash: syntax error near
unexpected token `)'
$>",
( ( ) ),NON GERE,,,,,,"bash: syntax error near
unexpected token `)'
$>",
( ( ( ( ) ) ) ),NON GERE,,,,,,"bash: syntax error near
unexpected token `)'
$>",
"""""",NON GERE,,,,,,"bash: : command not found
$>",
"""hola""",,,,,,,"bash: hola: command not found
$>",
hola',,,,,,,"bash: hola: command not found
$>",
',NON GERE,,,,,,"bash: : command not found
$>",
*,NON GERE,,,,,,"bash: crashtest.c: command not found
$>",
*/*,NON GERE,,,,,,"bash: Docs/attest.cation: command not found
$>",
*/*,NON GERE,,,,,,bash: */*: No such file or directory,
.,NON GERE,,,,,,"bash: .: filename argument required
$>",
..,NON GERE,,,,,,"bash: ..: command not found
$>",
~,NON GERE,,,,,,"bash: /home/vietdu91: Is a directory
$>",
ABC=hola,NON GERE,,,,,,$>,
4ABC=hola,NON GERE,,,,,,"bash: 4ABC=hola: command not found
$>",
hola,,,,,,,"bash: hola: command not found
$>",
hola que tal,,,,,,,"bash: hola: command not found
$>",
Makefile,,,,,,,"bash: Makefile: command not found
$>",
echo,,,,,,,"
$>",
echo -n,,,,,,,$>,
echo Hola,,,,,,,"Hola
$>",
echoHola,,,,,,,"bash: echoHola: command not found
$>",
echo-nHola,,,,,,,"bash: echo-nHola: command not found
$>",
echo -n Hola,,,,,,,Hola$>,
"echo ""-n"" Hola",,,,,,,Hola$>,
echo -nHola,,,,,,,"-nHola
$>",
